state,zipcode,total_pop,total_income,country,avg_income
NV,89444,1300,83575,USA,64288.46153846154
NV,89445,6500,430057,USA,66162.61538461539
NV,89447,4940,211921,USA,42898.98785425101
NV,89451,2730,1506714,USA,551909.8901098901
NV,89460,6320,540146,USA,85466.13924050632
NV,89501,2280,210150,USA,92171.05263157895
NV,89502,21960,1033599,USA,47067.34972677596
NV,89503,13490,739987,USA,54854.48480355819
NV,89506,20290,1035397,USA,51029.91621488418
NV,89508,6060,388916,USA,64177.557755775575
NV,89509,18290,1904770,USA,104142.70092946966
NV,89510,1580,140947,USA,89206.96202531646
NV,89511,15220,3309231,USA,217426.47831800263
NV,89512,11540,418540,USA,36268.630849220106
NV,89519,4970,1194197,USA,240281.0865191147
NV,89521,17870,1907969,USA,106769.39003917179
NV,89523,17690,1516241,USA,85711.75805539853
NV,89701,12530,715464,USA,57100.0798084597
NV,89703,5170,495241,USA,95791.29593810445
NV,89704,2170,288315,USA,132864.05529953918
NV,89705,2640,168447,USA,63805.681818181816
NV,89706,9690,480206,USA,49556.86274509804
NV,89801,10920,785106,USA,71896.15384615384
NV,89815,6630,573416,USA,86488.08446455505
NV,89820,2190,162789,USA,74332.87671232877
NV,89821,220,13903,USA,63195.454545454544
NV,89822,900,65284,USA,72537.77777777778
NV,89825,430,15685,USA,36476.74418604651
NV,89828,220,26033,USA,118331.81818181818
NV,89835,800,43611,USA,54513.75
NV,99999,41420,4728222,USA,114153.11443746982
NY,0,9632130,887473952,USA,92136.8328708188
NY,10001,16150,2906435,USA,179965.01547987617
NY,10002,42400,2718913,USA,64125.306603773584
NY,10003,29270,8191737,USA,279868.0218653912
NY,10004,2470,944925,USA,382560.72874493926
NY,10005,6160,2603668,USA,422673.3766233766
NY,10006,2510,577145,USA,229938.2470119522
NY,10007,3760,2910802,USA,774149.4680851063
NY,10009,33200,2948597,USA,88813.1626506024
NY,10010,17400,4542337,USA,261053.85057471265
NY,10011,30370,9331779,USA,307269.64109318407
NY,10012,12830,3646355,USA,284205.378020265
NY,10013,15380,7947938,USA,516771.0013003901
NY,10014,19080,6795181,USA,356141.56184486375
NY,10016,33510,8000771,USA,238757.7141151895
NY,10017,12280,4417331,USA,359717.5081433225
